trial  ,total_user  ,drivers     ,riders      ,match_rate  ,adjusted_match_rate   ,avg_driver_increase_time 
1      ,3000        ,1186        ,1814        ,0.728       ,0.921                 ,10.544                    
2      ,3000        ,1197        ,1803        ,0.755       ,0.947                 ,10.598                    
3      ,3000        ,1221        ,1779        ,0.759       ,0.933                 ,10.608                    
4      ,3000        ,1199        ,1801        ,0.747       ,0.935                 ,10.723                    
5      ,3000        ,1216        ,1784        ,0.753       ,0.928                 ,10.577                    
6      ,3000        ,1195        ,1805        ,0.75        ,0.941                 ,10.564                    
7      ,3000        ,1257        ,1743        ,0.755       ,0.901                 ,10.46                     
8      ,3000        ,1189        ,1811        ,0.743       ,0.938                 ,10.37                     
9      ,3000        ,1209        ,1791        ,0.745       ,0.924                 ,10.588                    
10     ,3000        ,1173        ,1827        ,0.737       ,0.942                 ,10.578                    
11     ,3000        ,1209        ,1791        ,0.755       ,0.936                 ,10.72                     
12     ,3000        ,1189        ,1811        ,0.73        ,0.921                 ,10.713                    
13     ,3000        ,1204        ,1796        ,0.741       ,0.923                 ,10.636                    
14     ,3000        ,1214        ,1786        ,0.753       ,0.93                  ,10.511                    
15     ,3000        ,1181        ,1819        ,0.738       ,0.937                 ,10.638                    
16     ,3000        ,1188        ,1812        ,0.749       ,0.945                 ,10.629                    
17     ,3000        ,1229        ,1771        ,0.758       ,0.925                 ,10.519                    
18     ,3000        ,1186        ,1814        ,0.743       ,0.94                  ,10.739                    
19     ,3000        ,1213        ,1787        ,0.759       ,0.939                 ,10.474                    
20     ,3000        ,1198        ,1802        ,0.741       ,0.927                 ,10.525                    
21     ,3000        ,1201        ,1799        ,0.752       ,0.939                 ,10.465                    
22     ,3000        ,1196        ,1804        ,0.752       ,0.943                 ,10.423                    
23     ,3000        ,1229        ,1771        ,0.757       ,0.924                 ,10.373                    
24     ,3000        ,1215        ,1785        ,0.757       ,0.935                 ,10.609                    
25     ,3000        ,1237        ,1763        ,0.774       ,0.939                 ,10.489                    
26     ,3000        ,1255        ,1745        ,0.774       ,0.925                 ,10.61                     
27     ,3000        ,1189        ,1811        ,0.753       ,0.95                  ,10.488                    
28     ,3000        ,1236        ,1764        ,0.767       ,0.93                  ,10.661                    
29     ,3000        ,1181        ,1819        ,0.739       ,0.938                 ,10.558                    
30     ,3000        ,1204        ,1796        ,0.739       ,0.921                 ,10.649                    
31     ,3000        ,1201        ,1799        ,0.759       ,0.948                 ,10.533                    
32     ,3000        ,1218        ,1782        ,0.754       ,0.929                 ,10.499                    
33     ,3000        ,1187        ,1813        ,0.759       ,0.959                 ,10.526                    
34     ,3000        ,1215        ,1785        ,0.76        ,0.938                 ,10.597                    
35     ,3000        ,1221        ,1779        ,0.759       ,0.932                 ,10.571                    
36     ,3000        ,1159        ,1841        ,0.724       ,0.937                 ,10.486                    
37     ,3000        ,1212        ,1788        ,0.755       ,0.935                 ,10.511                    
38     ,3000        ,1199        ,1801        ,0.743       ,0.929                 ,10.497                    
39     ,3000        ,1199        ,1801        ,0.751       ,0.94                  ,10.528                    
40     ,3000        ,1232        ,1768        ,0.77        ,0.938                 ,10.622                    
41     ,3000        ,1210        ,1790        ,0.751       ,0.931                 ,10.524                    
42     ,3000        ,1184        ,1816        ,0.734       ,0.93                  ,10.653                    
43     ,3000        ,1201        ,1799        ,0.756       ,0.944                 ,10.533                    
44     ,3000        ,1183        ,1817        ,0.746       ,0.946                 ,10.551                    
45     ,3000        ,1239        ,1761        ,0.751       ,0.91                  ,10.732                    
46     ,3000        ,1196        ,1804        ,0.743       ,0.932                 ,10.83                     
47     ,3000        ,1212        ,1788        ,0.754       ,0.933                 ,10.441                    
48     ,3000        ,1166        ,1834        ,0.725       ,0.933                 ,10.514                    
49     ,3000        ,1155        ,1845        ,0.727       ,0.944                 ,10.657                    
50     ,3000        ,1201        ,1799        ,0.756       ,0.944                 ,10.552                    
51     ,3000        ,1179        ,1821        ,0.727       ,0.925                 ,10.615                    
52     ,3000        ,1210        ,1790        ,0.765       ,0.948                 ,10.337                    
53     ,3000        ,1141        ,1859        ,0.708       ,0.931                 ,10.634                    
54     ,3000        ,1180        ,1820        ,0.736       ,0.936                 ,10.683                    
55     ,3000        ,1225        ,1775        ,0.759       ,0.929                 ,10.528                    
56     ,3000        ,1190        ,1810        ,0.737       ,0.929                 ,10.651                    
57     ,3000        ,1179        ,1821        ,0.731       ,0.93                  ,10.594                    
58     ,3000        ,1193        ,1807        ,0.742       ,0.933                 ,10.673                    
59     ,3000        ,1213        ,1787        ,0.737       ,0.912                 ,10.621                    
60     ,3000        ,1193        ,1807        ,0.749       ,0.942                 ,10.641                    
61     ,3000        ,1170        ,1830        ,0.719       ,0.921                 ,10.616                    
62     ,3000        ,1212        ,1788        ,0.751       ,0.93                  ,10.557                    
63     ,3000        ,1231        ,1769        ,0.771       ,0.94                  ,10.553                    
64     ,3000        ,1183        ,1817        ,0.742       ,0.941                 ,10.379                    
65     ,3000        ,1158        ,1842        ,0.704       ,0.912                 ,10.48                     
66     ,3000        ,1192        ,1808        ,0.739       ,0.93                  ,10.628                    
67     ,3000        ,1212        ,1788        ,0.739       ,0.914                 ,10.485                    
68     ,3000        ,1204        ,1796        ,0.742       ,0.924                 ,10.517                    
69     ,3000        ,1171        ,1829        ,0.733       ,0.939                 ,10.649                    
70     ,3000        ,1197        ,1803        ,0.748       ,0.937                 ,10.386                    
71     ,3000        ,1205        ,1795        ,0.748       ,0.931                 ,10.567                    
72     ,3000        ,1176        ,1824        ,0.745       ,0.95                  ,10.612                    
73     ,3000        ,1243        ,1757        ,0.768       ,0.927                 ,10.538                    
74     ,3000        ,1202        ,1798        ,0.74        ,0.923                 ,10.652                    
75     ,3000        ,1195        ,1805        ,0.743       ,0.933                 ,10.56                     
76     ,3000        ,1223        ,1777        ,0.755       ,0.926                 ,10.724                    
77     ,3000        ,1215        ,1785        ,0.735       ,0.908                 ,10.517                    
78     ,3000        ,1228        ,1772        ,0.761       ,0.93                  ,10.614                    
79     ,3000        ,1205        ,1795        ,0.747       ,0.93                  ,10.346                    
80     ,3000        ,1189        ,1811        ,0.733       ,0.925                 ,10.621                    
81     ,3000        ,1170        ,1830        ,0.727       ,0.932                 ,10.626                    
82     ,3000        ,1187        ,1813        ,0.729       ,0.921                 ,10.53                     
83     ,3000        ,1174        ,1826        ,0.734       ,0.938                 ,10.57                     
84     ,3000        ,1185        ,1815        ,0.749       ,0.948                 ,10.739                    
85     ,3000        ,1159        ,1841        ,0.726       ,0.94                  ,10.6                      
86     ,3000        ,1146        ,1854        ,0.706       ,0.924                 ,10.539                    
87     ,3000        ,1182        ,1818        ,0.737       ,0.935                 ,10.611                    
88     ,3000        ,1222        ,1778        ,0.767       ,0.942                 ,10.697                    
89     ,3000        ,1211        ,1789        ,0.739       ,0.915                 ,10.592                    
90     ,3000        ,1134        ,1866        ,0.711       ,0.94                  ,10.638                    
91     ,3000        ,1208        ,1792        ,0.755       ,0.938                 ,10.605                    
92     ,3000        ,1211        ,1789        ,0.745       ,0.923                 ,10.596                    
93     ,3000        ,1235        ,1765        ,0.769       ,0.934                 ,10.462                    
94     ,3000        ,1228        ,1772        ,0.736       ,0.899                 ,10.66                     
95     ,3000        ,1183        ,1817        ,0.747       ,0.948                 ,10.688                    
96     ,3000        ,1203        ,1797        ,0.747       ,0.932                 ,10.611                    
97     ,3000        ,1213        ,1787        ,0.753       ,0.931                 ,10.521                    
98     ,3000        ,1157        ,1843        ,0.707       ,0.917                 ,10.497                    
99     ,3000        ,1161        ,1839        ,0.719       ,0.929                 ,10.729                    
100    ,3000        ,1259        ,1741        ,0.763       ,0.909                 ,10.764                    
