id    | role    | slots                          | source                                   | destination                              | 
1     | driver  |                         [7, 8] | (-122.00347733971685, 37.555005536551995) | (-122.20964787112862, 37.501338791098775) | 
2     | rider   |                       [10, 11] | (-121.95793560108982, 37.53047557546103) | (-122.13023155134874, 37.46145081369083) | 
3     | rider   |                         [8, 9] | (-121.981105715547, 37.561747408124006) | (-122.22714925497037, 37.5291484471634) | 
4     | rider   |  [7, 8, 9, 10, 11, 12, 13, 14] | (-121.9440355910898, 37.506974043999215) | (-122.13293573841979, 37.46759022354124) | 
5     | rider   |                      [2, 3, 4] | (-122.01253082523208, 37.553923678068735) | (-122.14810319186374, 37.48193969098462) | 
6     | rider   |        [9, 10, 11, 12, 13, 14] | (-122.00698289876496, 37.55448934844427) | (-122.06184201347507, 37.38048965284418) | 
7     | rider   |                         [8, 9] | (-122.01239217220532, 37.55652135276314) | (-122.17760321138024, 37.455006027279644) | 
8     | driver  |                           [11] | (-122.00663536200328, 37.555510111739146) | (-122.11607921899332, 37.404969716169106) | 
9     | rider   |                      [1, 2, 3] | (-121.98295900528173, 37.560077553163524) | (-122.26998010090239, 37.46986601302339) | 
10    | driver  |                     [8, 9, 10] | (-121.9372763781775, 37.50178896055957) | (-122.05759197585915, 37.40187830067971) | 
11    | rider   |                      [6, 7, 8] | (-121.97731325798124, 37.55770743865962) | (-122.25192298635942, 37.466267849863186) | 
12    | rider   |                         [8, 9] | (-121.9376759745049, 37.50443850523029) | (-122.22878552359737, 37.485137632563756) | 
13    | rider   |                [5, 6, 7, 8, 9] | (-121.97691008955297, 37.55783286432777) | (-122.2400750319998, 37.49560264093086) | 
14    | rider   |                    [9, 10, 11] | (-121.93867356941011, 37.498609478958194) | (-122.04703351557454, 37.39152094738158) | 
15    | rider   |                   [6, 7, 8, 9] | (-122.00920493552448, 37.55521143001157) | (-122.26298928795492, 37.48182503153808) | 
16    | driver  |           [6, 7, 8, 9, 10, 11] | (-122.00958061846619, 37.55445414199124) | (-122.09721387725655, 37.36278949716153) | 
17    | rider   |                   [4, 5, 6, 7] | (-121.9395361093422, 37.50090934644114) | (-122.22231411175392, 37.47497693372971) | 
18    | rider   |                      [7, 8, 9] | (-122.0050962353066, 37.56010183572781) | (-122.22903400341127, 37.51637729686464) | 
19    | driver  |      [3, 4, 5, 6, 7, 8, 9, 10] | (-121.95206598275765, 37.53722558099287) | (-122.2191508948914, 37.51073348184752) | 
20    | rider   |                       [10, 11] | (-121.9534438046975, 37.53344724287576) | (-122.09602647742197, 37.36705099597764) | 
21    | driver  |                [9, 10, 11, 12] | (-121.93695534845855, 37.502417827696426) | (-122.23261838962787, 37.501198803503115) | 
22    | driver  |                 [8, 9, 10, 11] | (-121.97828103647915, 37.55668121272215) | (-122.20740836525493, 37.484861055520085) | 
23    | rider   |                   [10, 11, 12] | (-122.00313546062121, 37.55549022104053) | (-122.11001170531995, 37.38225396587615) | 
24    | rider   |         [8, 9, 10, 11, 12, 13] | (-122.00711748943662, 37.552354510807305) | (-122.15244196266734, 37.5087834107674) | 
25    | rider   |                       [11, 12] | (-121.97614299121435, 37.55366355946186) | (-122.094984907441, 37.37264585722026) | 
26    | driver  |                   [6, 7, 8, 9] | (-121.9395045180019, 37.50306296053334) | (-122.21062477453778, 37.4784618804848) | 
27    | rider   |                      [7, 8, 9] | (-122.0085530810021, 37.56213178402807) | (-122.1644747866695, 37.451834987624956) | 
28    | driver  |                        [9, 10] | (-121.95484295058318, 37.5366095980307) | (-122.09188231432154, 37.35864706349095) | 
29    | driver  |                         [6, 7] | (-121.95422364470689, 37.536462830534575) | (-122.21582771920531, 37.49417524161049) | 
30    | driver  |                     [8, 9, 10] | (-121.9490795470259, 37.53102294954792) | (-122.12842426070625, 37.46465035634406) | 
31    | rider   |                            [8] | (-122.00679557916281, 37.55590199418827) | (-122.26937917130681, 37.473434258621126) | 
32    | driver  |               [10, 11, 12, 13] | (-122.00611182023992, 37.55896852050068) | (-122.24306371008653, 37.45079261384545) | 
